Number,Parents,bugpop,natpop,hatch date,eclosion date,death date,sex,cracked,lifespan,Dvpt.time,mathost
642,428,GainesvilleBV,Lake_Wales,19-Jun,16-Jul,,M,n,-40712,27,K.elegans
643,428,GainesvilleBV,HomesteadGRT,19-Jun,16-Jul,,M,y,-40712,27,K.elegans
644,428,GainesvilleBV,HomesteadBV,19-Jun,NA,23-Jun,NA,n,4,#VALUE!,K.elegans
645,428,GainesvilleBV,Key_Largo,19-Jun,NA,21-Jun,NA,n,2,#VALUE!,K.elegans
646,428,GainesvilleBV,Key_Largo,19-Jun,16-Jul,,F,y,-40712,27,K.elegans
647,436,GainesvilleBV,GainesvilleGRT,20-Jun,17-Jul,,F,n,-40713,27,K.elegans
648,436,GainesvilleBV,Lake_Wales,20-Jun,19-Jul,,F,n,-40713,29,K.elegans
649,436,GainesvilleBV,Leesburg,20-Jun,21-Jul,,M,y,-40713,31,K.elegans
650,436,GainesvilleBV,HomesteadBV,20-Jun,NA,23-Jun,NA,n,3,#VALUE!,K.elegans
651,436,GainesvilleBV,Plantation_Key,20-Jun,NA,23-Jun,NA,n,3,#VALUE!,K.elegans
652,436,GainesvilleBV,Key_Largo,19-Jun,14-Jul,,M,y,-40712,25,K.elegans
653,235,GainesvilleGRT,Lake_Wales,20-Jun,NA,25-Jun,NA,n,5,#VALUE!,K.elegans
654,235,GainesvilleGRT,GainesvilleGRT,20-Jun,18-Jul,,F,n,-40713,28,K.elegans
655,235,GainesvilleGRT,GainesvilleGRT,21-Jun,21-Jul,,F,y,-40714,30,K.elegans
656,235,GainesvilleGRT,Key_Largo,21-Jun,NA,25-Jun,NA,n,4,#VALUE!,K.elegans
657,235,GainesvilleGRT,HomesteadBV,21-Jun,NA,26-Jun,NA,n,5,#VALUE!,K.elegans
658,235,GainesvilleGRT,Plantation_Key,21-Jun,17-Jul,,F,y,-40714,26,K.elegans
659,385,Lake_Wales,GainesvilleGRT,20-Jun,23-Jul,,M,n,-40713,33,K.elegans
660,385,Lake_Wales,GainesvilleGRT,20-Jun,NA,25-Jun,NA,n,5,#VALUE!,K.elegans
661,385,Lake_Wales,Lake_Wales,20-Jun,22-Jul,,F,y,-40713,32,K.elegans
662,385,Lake_Wales,Key_Largo,20-Jun,NA,27-Jun,NA,n,7,#VALUE!,K.elegans
663,385,Lake_Wales,HomesteadBV,20-Jun,NA,25-Jun,NA,n,5,#VALUE!,K.elegans
664,385,Lake_Wales,Plantation_Key,20-Jun,NA,6-Sep,NA,y,78,#VALUE!,K.elegans
665,238,HomesteadBV,GainesvilleGRT,20-Jun,26-Jul,,M,n,-40713,36,K.elegans
666,238,HomesteadBV,GainesvilleGRT,21-Jun,24-Jul,,M,n,-40714,33,K.elegans
667,238,HomesteadBV,Leesburg,22-Jun,24-Jul,,F,y,-40715,32,K.elegans
668,238,HomesteadBV,Key_Largo,22-Jun,NA,1-Jul,NA,n,9,#VALUE!,K.elegans
669,238,HomesteadBV,HomesteadBV,23-Jun,NA,27-Jun,NA,n,4,#VALUE!,K.elegans
670,238,HomesteadBV,HomesteadBV,23-Jun,30-Jul,,M,y,-40716,37,K.elegans
671,292,Leesburg,Leesburg,20-Jun,26-Jul,,F,n,-40713,36,K.elegans
672,292,Leesburg,HomesteadGRT,20-Jun,26-Jul,,F,n,-40713,36,K.elegans
673,292,Leesburg,Leesburg,20-Jun,25-Jul,,F,y,-40713,35,K.elegans
674,292,Leesburg,Key_Largo,21-Jun,NA,25-Jun,NA,n,4,#VALUE!,K.elegans
675,292,Leesburg,Key_Largo,21-Jun,24-Jul,,M,n,-40714,33,K.elegans
676,292,Leesburg,Key_Largo,21-Jun,20-Jul,,M,y,-40714,29,K.elegans
677,446,GainesvilleBV,Lake_Wales,21-Jun,23-Jul,,M,n,-40714,32,K.elegans
678,446,GainesvilleBV,GainesvilleGRT,21-Jun,22-Jul,,M,n,-40714,31,K.elegans
679,446,GainesvilleBV,GainesvilleGRT,21-Jun,22-Jul,,F,y,-40714,31,K.elegans
