femaleSpecies,maleSpecies,maleID,treatment,spendingTime,maleWeight,averageFemaleWeight,femaleWeight_poMinusga,po_femalePerga_female,exclude
intermediate,poecilia,p15,preference,245,0.11162,0.35654,0.00352,1.009921642,1
intermediate,poecilia,p16,preference,422,0.1423,0.361665,0.05309,1.158420864,0
intermediate,poecilia,p17,preference,135,0.12559,0.35153,0.107,1.359024259,0
intermediate,poecilia,p18,preference,92,0.1445,0.279065,0.02779,1.104800694,0
intermediate,poecilia,p19,preference,135,0.20816,0.487105,0.12245,1.287522307,0
intermediate,poecilia,p2,preference,4,0.10198,0.31549,0.08632,1.316968384,0
intermediate,poecilia,p20,preference,214,0.12895,0.396515,0.06981,1.193053289,0
intermediate,poecilia,p21,preference,233,0.2139,0.40738,-0.01042,0.974744904,1
intermediate,poecilia,p22,preference,212,0.14749,0.380405,-0.00251,0.993423466,0
intermediate,poecilia,p23,preference,104,0.18688,0.56085,0.04832,1.090033353,0
intermediate,poecilia,p24,preference,416,0.11422,0.37333,0.09526,1.29247774,0
intermediate,poecilia,p25,preference,87,0.12934,0.792775,0.24765,1.370207041,0
intermediate,poecilia,p26,preference,0,0.13428,0.390515,0.12281,1.373157911,1
intermediate,poecilia,p27,preference,46,0.21031,0.547275,0.03579,1.06760739,0
intermediate,poecilia,p28,preference,167,0.10902,0.39429,0.13418,1.410085575,0
intermediate,poecilia,p29,preference,28,0.15891,0.39493,-0.04716,0.887314521,1
intermediate,poecilia,p3,preference,NA,0.10188,0.310435,0.05159,1.181246487,1
intermediate,poecilia,p30,preference,167,0.11888,0.5903,0.25384,1.547800941,0
intermediate,poecilia,p31,preference,283,0.14587,0.290135,-0.02703,0.91098304,0
intermediate,poecilia,p32,preference,490,0.17234,0.28984,-0.04466,0.856936925,0
intermediate,poecilia,p4,preference,NA,0.09894,0.38683,0.1774,1.595042431,1
intermediate,poecilia,p5,preference,267,0.16748,0.413275,0.02985,1.074934103,0
intermediate,poecilia,p6,preference,250,0.12966,0.629095,-0.09865,0.854588603,0
intermediate,poecilia,p7,preference,193,0.12336,0.250315,0.01157,1.047315258,0
intermediate,poecilia,p8,preference,313,0.17376,0.36829,0.12156,1.395304218,0
intermediate,poecilia,p9,preference,39,0.08932,0.51775,0.0699,1.144780447,0
